Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by INDP - 4 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INDP - 4 Digit Level","Sugar Cane Growing","Sugar Manufacturing","Total",
"Maryland - Fletcher - Minmi",0,0,0,
"Mayfield - Warabrook",0,0,0,
"Merewether - The Junction",0,0,0,
"Newcastle - Cooks Hill",0,0,0,
"Newcastle Port - Kooragang",0,0,0,
"Shortland - Jesmond",0,0,0,
"Stockton - Fullerton Cove",0,0,0,
"Wallsend - Elermore Vale",0,0,0,
"Waratah - North Lambton",0,0,0,
"Wickham - Carrington - Tighes Hill",0,0,0,
"Ballina",3,15,15,
"Ballina Region",52,21,68,
"Bangalow",0,4,4,
"Brunswick Heads - Ocean Shores",0,0,0,
"Byron Bay",0,0,0,
"Evans Head",19,29,46,
"Lennox Head - Skennars Head",5,4,4,
"Mullumbimby",0,0,0,
"Casino",4,0,4,
"Casino Region",5,5,11,
"Goonellabah",0,8,6,
"Kyogle",0,0,0,
"Lismore",0,3,6,
"Lismore Region",37,12,51,
"Kingscliff - Fingal Head",3,3,10,
"Murwillumbah",8,11,24,
"Murwillumbah Region",35,14,49,
"Pottsville",14,11,27,
"Tweed Heads",0,9,10,
"Banora Point",4,8,9,
"Terranora - North Tumblegum",0,0,0,
"Tweed Heads South",0,0,0,
"Griffith (NSW)",0,0,0,
"Griffith Region",0,0,0,
"Leeton",0,0,0,
"Narrandera",0,0,0,
"Tumbarumba",0,0,0,
"Tumut",0,0,0,
"Tumut Region",0,0,0,
"Cootamundra",0,0,0,
"Gundagai",0,0,0,
"Junee",0,0,0,
"Temora",0,0,0,
"Wagga Wagga - East",0,0,0,
"Wagga Wagga - North",0,0,0,
"Wagga Wagga - South",0,0,0,
"Wagga Wagga - West",0,0,0,
"Wagga Wagga Region",0,0,0,
"Berry - Kangaroo Valley",0,0,0,
"Callala Bay - Currarong",0,0,0,
"Culburra Beach",0,0,0,
"Ettrema - Sassafras - Budawang",0,0,0,
"Huskisson - Vincentia",0,0,0,
"North Nowra - Bomaderry",0,0,0,
"Nowra",0,0,0,
"St Georges Basin - Erowal Bay",0,0,0,
"Sussex Inlet - Berrara",0,0,0,
"Tomerong - Wandandian - Woollamia",0,0,0,
"Ulladulla",0,0,0,
"Ulladulla Region",0,0,0,
"Bowral",0,0,0,
"Hill Top - Colo Vale",0,0,0,
"Mittagong",0,0,0,
"Moss Vale - Berrima",0,0,0,
"Robertson - Fitzroy Falls",0,0,0,
"Southern Highlands",0,0,0,
"Baulkham Hills (East)",0,0,0,
"Baulkham Hills (West) - Bella Vista",0,0,0,
"Glenhaven",0,0,0,
"West Pennant Hills",0,0,0,
"Castle Hill - Central",0,0,0,
"Castle Hill - East",0,0,0,
"Castle Hill - North",0,0,0,
"Castle Hill - South",0,0,0,
"Castle Hill - West",0,0,0,
"Cherrybrook",0,0,0,
"Kellyville",0,0,0,
"Dural - Kenthurst - Wisemans Ferry",0,0,0,
"Galston - Laughtondale",0,0,0,
"Bilpin - Colo - St Albans",0,0,0,
"Kurrajong Heights - Ebenezer",0,0,0,
"Pitt Town - McGraths Hill",0,0,0,
"Rouse Hill - Beaumont Hills",0,6,6,
"Blacktown (East) - Kings Park",0,0,0,
"Blacktown (North) - Marayong",0,0,0,
"Doonside - Woodcroft",0,0,0,
"Lalor Park - Kings Langley",0,0,0,
"Seven Hills - Toongabbie",0,0,0,
"Blacktown (South)",0,0,0,
"Blacktown (West)",0,0,0,
"Glenwood",0,0,0,
"Parklea - Kellyville Ridge",0,0,0,
"Riverstone - Marsden Park",0,0,0,
"Acacia Gardens",0,0,0,
"Quakers Hill",0,0,0,
"Bidwill - Hebersham - Emerton",0,0,0,
"Glendenning - Dean Park",0,0,0,
"Hassall Grove - Plumpton",0,0,0,
"Lethbridge Park - Tregear",0,0,0,
"Mount Druitt - Whalan",0,0,0,
"Prospect Reservoir",0,0,0,
"Rooty Hill - Minchinbury",0,0,0,
"Banksmeadow",0,0,0,
"Botany",0,0,0,
"Mascot - Eastlakes",0,0,0,
"Pagewood - Hillsdale - Daceyville",0,0,0,
"Port Botany Industrial",0,0,0,
"Sydney Airport",0,0,0,
"Marrickville",0,0,0,
"Petersham - Stanmore",0,0,0,
"Sydenham - Tempe - St Peters",0,0,0,
"Darlinghurst",0,0,0,
"Erskineville - Alexandria",0,0,0,
"Glebe - Forest Lodge",0,0,0,
"Newtown - Camperdown - Darlington",0,0,0,
"Potts Point - Woolloomooloo",0,0,0,
"Pyrmont - Ultimo",0,0,0,
"Redfern - Chippendale",0,0,0,
"Surry Hills",0,0,0,
"Sydney - Haymarket - The Rocks",0,0,0,
"Waterloo - Beaconsfield",0,0,0,
"Bondi - Tamarama - Bronte",0,0,0,
"Bondi Beach - North Bondi",0,0,0,
"Bondi Junction - Waverly",0,0,0,
"Centennial Park",0,0,0,
"Double Bay - Bellevue Hill",0,0,0,
"Dover Heights",0,0,0,
"Paddington - Moore Park",0,0,0,
"Rose Bay - Vaucluse - Watsons Bay",0,0,0,
"Woollahra",0,0,0,
"Coogee - Clovelly",0,0,0,
"Malabar - La Perouse - Chifley",0,0,0,
"Kensington (NSW)",0,0,0,
"Kingsford",0,0,0,
"Maroubra - North",0,0,0,
"Maroubra - South",0,0,0,
"Maroubra - West",0,0,0,
"Randwick - North",0,0,0,
"Randwick - South",0,0,0,
"Bass Hill - Georges Hall",0,0,0,
"Chullora",0,0,0,
"Condell Park",0,0,0,
"Greenacre - Mount Lewis",0,0,0,
"Padstow",0,0,0,
"Panania - Milperra - Picnic Point",0,0,0,
"Revesby",0,0,0,
"Yagoona - Birrong",0,0,0,
"Bankstown - North",0,0,0,
"Bankstown - South",0,0,0,
"Belmore - Belfield",0,0,0,
"Canterbury (South) - Campsie",0,5,5,
"Kingsgrove (North) - Earlwood",0,0,0,
"Punchbowl",0,0,0,
"Roselands",0,0,0,
"Lakemba",0,0,0,
"Wiley Park",0,0,0,
"Hurstville",0,0,0,
"Mortdale - Penshurst",0,0,0,
"Narwee - Beverly Hills",0,0,0,
"Oatley - Hurstville Grove",0,0,0,
"Peakhurst - Lugarno",0,0,0,
"Riverwood",0,0,0,
"South Hurstville - Blakehurst",0,0,0,
"Arncliffe - Bardwell Valley",0,0,0,
"Bexley",0,0,0,
"Kingsgrove (South) - Bardwell Park",0,0,0,
"Kogarah",0,0,0,
"Kogarah Bay - Carlton - Allawah",0,0,0,
"Monterey - Brighton-le-Sands - Kyeemagh",0,0,0,
"Rockdale - Banksia",0,0,0,
"Sans Souci - Ramsgate",0,0,0,
"Concord - Mortlake - Cabarita",0,0,0,
"Concord West - North Strathfield",0,0,0,
"Drummoyne - Rodd Point",0,0,0,
"Five Dock - Abbotsford",0,0,0,
"Balmain",0,0,0,
"Leichhardt - Annandale",0,3,3,
"Lilyfield - Rozelle",0,0,0,
"Ashfield",0,0,0,
"Burwood - Croydon",0,0,0,
"Canterbury (North) - Ashbury",0,0,0,
"Croydon Park - Enfield",0,0,0,
"Dulwich Hill - Lewisham",0,0,0,
"Haberfield - Summer Hill",0,0,0,
"Homebush",0,0,0,
"Strathfield",0,0,0,
"Strathfield South",0,0,0,
"Chatswood (East) - Artarmon",0,4,4,
"Chatswood (West) - Lane Cove North",0,0,0,
"Lane Cove - Greenwich",0,0,0,
"St Leonards - Naremburn",0,0,0,
"Willoughby - Castle Cove - Northbridge",0,0,0,
"Asquith - Mount Colah",0,0,0,
"Berowra - Brooklyn - Cowan",0,0,0,
"Normanhurst - Thornleigh - Westleigh",0,0,0,
"Hornsby - East",0,0,0,
"Hornsby - West",0,0,0,
"Waitara - Wahroonga (West)",0,0,0,
"Gordon - Killara",0,0,0,
"Lindfield - Roseville",0,0,0,
"Pymble",0,0,0,
"St Ives",0,0,0,
"Turramurra",0,0,0,
"Wahroonga (East) - Warrawee",0,0,0,
"Cremorne - Cammeray",0,0,0,
"Crows Nest - Waverton",0,0,0,
"Mosman",0,0,0,
"Neutral Bay - Kirribilli",0,0,0,
"North Sydney - Lavender Bay",0,0,0,
"Balgowlah - Clontarf - Seaforth",0,0,0,
"Manly - Fairlight",0,0,0,
"Avalon - Palm Beach",0,0,0,
"Bayview - Elanora Heights",0,0,0,
"Newport - Bilgola",0,0,0,
"Warriewood - Mona Vale",0,0,0,
"Beacon Hill - Narraweena",0,0,0,
"Cromer",0,0,0,
"Dee Why - North Curl Curl",0,0,0,
"Forestville - Killarney Heights",0,0,0,
"Frenchs Forest - Belrose",0,0,0,
"Freshwater - Brookvale",0,0,0,
"Manly Vale - Allambie Heights",0,0,0,
"Narrabeen - Collaroy",0,0,0,
"Terrey Hills - Duffys Forest",0,0,0,
"Camden - Ellis Lane",0,0,0,
"Elderslie - Harrington Park",0,0,0,
"Mount Annan - Currans Hill",0,0,0,
"Bradbury - Wedderburn",0,0,0,
"Campbelltown - Woodbine",0,0,0,
"Claymore - Eagle Vale - Raby",0,0,0,
"Holsworthy Military Area",0,0,0,
"Ingleburn - Denham Court",0,0,0,
"Leumeah - Minto Heights",0,0,0,
"Macquarie Fields - Glenfield",0,0,0,
"Minto - St Andrews",0,0,0,
"Rosemeadow - Glen Alpine",0,0,0,
"Bargo",0,0,0,
"Douglas Park - Appin",0,0,0,
"Picton - Tahmoor - Buxton",0,0,0,
"The Oaks - Oakdale",0,0,0,
"Blackheath - Megalong Valley",0,0,0,
"Blaxland - Warrimoo - Lapstone",0,0,0,
"Blue Mountains - North",0,0,0,
"Katoomba - Leura",0,0,0,
"Lawson - Hazelbrook - Linden",0,0,0,
"Springwood - Winmalee",0,0,0,
"Wentworth Falls",0,0,0,
"Blue Mountains - South",0,0,0,
"Cambridge Park",0,0,0,
"Castlereagh - Cranebrook",0,0,0,
"Emu Plains - Leonay",0,0,0,
"Glenmore Park - Regentville",0,0,0,
"Jamisontown - South Penrith",0,0,0,
"Kingswood - Werrington",0,0,0,
"Mulgoa - Luddenham - Orchard Hills",0,0,0,
"Penrith",0,0,0,
"Warragamba - Silverdale",0,0,0,
"Richmond - Clarendon",0,0,0,
"Windsor - Bligh Park",0,0,0,
"Yarramundi - Londonderry",0,0,0,
"Erskine Park",0,0,0,
"St Clair",0,0,0,
"Colyton - Oxley Park",0,0,0,
"St Marys - North St Marys",0,0,0,
"Homebush Bay - Silverwater",0,0,0,
"Rookwood Cemetery",0,0,0,
"Auburn - Central",0,0,0,
"Auburn - North",0,0,0,
"Auburn - South",0,0,0,
"Berala",0,0,0,
"Lidcombe",0,0,0,
"Regents Park",0,0,0,
"Carlingford",0,0,0,
"Ermington - Rydalmere",0,0,0,
"Oatlands - Dundas Valley",0,0,0,
"Chester Hill - Sefton",0,0,0,
"Fairfield - East",0,0,0,
"Granville - Clyde",0,0,0,
"Greystanes - Pemulwuy",0,0,0,
"Guildford - South Granville",0,0,0,
"Guildford West - Merrylands West",0,0,0,
"Merrylands - Holroyd",0,0,0,
"Smithfield Industrial",0,0,0,
"Yennora Industrial",0,0,0,
"North Parramatta",0,0,0,
"North Rocks",0,0,0,
"Northmead",0,0,0,
"Parramatta - Rosehill",0,0,3,
"Toongabbie - Constitution Hill",0,0,0,
"Winston Hills",0,0,0,
"Pendle Hill - Girraween",0,0,0,
"Wentworthville - Westmead",0,0,0,
"Epping - North Epping",0,0,0,
"Pennant Hills - Cheltenham",0,0,0,
"Eastwood - Denistone",0,0,0,
"Gladesville - Huntleys Point",0,0,0,
"Hunters Hill - Woolwich",0,0,0,
"Macquarie Park - Marsfield",0,0,0,
"North Ryde - East Ryde",0,0,0,
"West Ryde - Meadowbank",0,0,6,
"Putney",0,0,0,
"Ryde",0,0,0,
"Ashcroft - Busby - Miller",0,0,0,
"Austral - Greendale",0,0,0,
"Cobbitty - Leppington",0,0,0,
"Badgerys Creek",0,0,0,
"Cecil Hills",0,0,0,
"Green Valley",0,0,0,
"Hinchinbrook",0,0,0,
"Hoxton Park - Carnes Hill - Horningsea Park",0,0,0,
"West Hoxton - Middleton Grange",0,0,0,
"Bonnyrigg Heights - Bonnyrigg",0,0,0,
"Bossley Park - Abbotsbury",0,0,0,
"Cabramatta - Lansvale",0,0,0,
"Cabramatta West - Mount Pritchard",0,0,0,
"Canley Vale - Canley Heights",0,0,0,
"Edensor Park",0,0,0,
"Fairfield",0,0,0,
"Fairfield - West",0,0,0,
"Greenfield Park - Prairiewood",0,0,0,
"Horsley Park - Kemps Creek",0,0,0,
"Smithfield - Wetherill Park",0,0,0,
"St Johns Park - Wakeley",0,0,0,
"Wetherill Park Industrial",0,0,0,
"Casula",0,0,0,
"Chipping Norton - Moorebank",0,0,0,
"Holsworthy - Wattle Grove",0,0,0,
"Liverpool",0,0,0,
"Lurnea - Cartwright",0,0,0,
"Prestons - Edmondson Park",0,0,0,
"Warwick Farm",0,0,0,
"Gymea - Grays Point",0,0,0,
"Miranda - Yowie Bay",0,0,0,
"Sylvania - Taren Point",0,0,0,
"Caringbah",0,0,0,
"Caringbah South",0,0,0,
"Cronulla - Kurnell - Bundeena",0,0,0,
"Lilli Pilli - Port Hacking - Dolans Bay",0,0,0,
"Woolaware - Burraneer",0,0,0,
"Heathcote - Waterfall",0,0,0,
"Illawong - Alfords Point",0,0,0,
"Menai - Lucas Heights - Woronora",0,0,0,
"Oyster Bay - Como - Jannali",0,0,0,
"Royal National Park",0,0,0,
"Sutherland - Kirrawee",0,0,0,
"Engadine",0,0,0,
"Loftus - Yarrawarrah",0,0,0,
"Woronora Heights",0,0,0,
"Migratory - Offshore - Shipping (NSW)",0,0,0,
"No Usual Address (NSW)",0,0,0,
"Alfredton",0,0,0,
"Ballarat",0,0,0,
"Ballarat - North",0,0,0,
"Ballarat - South",0,0,0,
"Buninyong",0,0,0,
"Delacombe",0,0,0,
"Smythes Creek",0,0,0,
"Wendouree - Miners Rest",0,0,0,
"Bacchus Marsh Region",0,0,0,
"Creswick - Clunes",0,0,0,
"Daylesford",0,0,0,
"Gordon (Vic.)",0,0,0,
"Avoca",0,0,0,
"Beaufort",0,0,0,
"Golden Plains - North",0,0,0,
"Maryborough (Vic.)",0,0,0,
"Maryborough Region",0,0,0,
"Bendigo",0,0,0,
"California Gully - Eaglehawk",0,0,0,
"East Bendigo - Kennington",0,0,0,
"Flora Hill - Spring Gully",0,0,0,
"Kangaroo Flat - Golden Square",0,0,0,
"Maiden Gully",0,0,0,
"Strathfieldsaye",0,0,0,
"White Hills - Ascot",0,0,0,
"Bendigo Region - South",0,0,0,
"Castlemaine",0,0,0,
"Castlemaine Region",0,0,0,
"Heathcote",0,0,0,
"Kyneton",0,0,0,
"Woodend",0,0,0,
"Bendigo Region - North",0,0,0,
"Loddon",0,0,0,
"Bannockburn",0,0,0,
"Golden Plains - South",0,0,0,
"Winchelsea",0,0,0,
"Belmont",0,0,0,
"Corio - Norlane",0,0,0,
"Geelong",0,0,0,
"Geelong West - Hamlyn Heights",0,0,0,
"Grovedale",0,0,0,
"Highton",0,0,0,
"Lara",0,0,0,
"Leopold",0,0,0,
"Newcomb - Moolap",0,0,0,
"Newtown (Vic.)",0,0,0,
"North Geelong - Bell Park",0,0,0,
"Clifton Springs",0,0,0,
"Lorne - Anglesea",0,0,0,
"Ocean Grove - Barwon Heads",0,0,0,
"Portarlington",0,0,0,
"Point Lonsdale - Queenscliff",0,0,0,
"Torquay",0,0,0,
"Alexandra",0,0,0,
"Euroa",0,0,0,
"Kilmore - Broadford",0,0,0,
"Mansfield (Vic.)",0,0,0,
"Nagambie",0,0,0,
"Seymour",0,0,0,
"Seymour Region",0,0,0,
"Upper Yarra Valley",0,0,0,
"Yea",0,0,0,
"Benalla",0,0,0,
"Benalla Region",0,0,0,
"Rutherglen",0,0,0,
"Wangaratta",0,0,0,
"Wangaratta Region",0,0,0,
"Beechworth",0,0,0,
"Bright - Mount Beauty",0,0,0,
"Chiltern - Indigo Valley",0,0,0,
"Myrtleford",0,0,0,
"Towong",0,0,0,
"West Wodonga",0,0,0,
"Wodonga",0,0,0,
"Yackandandah",0,0,0,
"Drouin",0,0,0,
"Mount Baw Baw Region",0,0,0,
"Trafalgar (Vic.)",0,0,0,
"Warragul",0,0,0,
"Alps - East",0,0,0,
"Bairnsdale",0,0,0,
"Bruthen - Omeo",0,0,0,
"Lake King",0,0,0,
"Lakes Entrance",0,0,0,
"Orbost",0,0,0,
"Paynesville",0,0,0,
"Foster",0,0,0,
"French Island",0,0,0,
"Korumburra",0,0,0,
"Leongatha",0,0,0,
"Phillip Island",0,0,0,
"Wilsons Promontory",0,0,0,
"Wonthaggi - Inverloch",0,0,0,
"Churchill",0,0,0,
"Moe - Newborough",0,0,0,
"Morwell",0,0,0,
"Traralgon",0,0,0,
"Yallourn North - Glengarry",0,0,0,
"Alps - West",0,0,0,
"Longford - Loch Sport",0,0,0,
"Maffra",0,0,0,
"Rosedale",0,0,0,
"Sale",0,0,0,
"Yarram",0,0,0,
"Brunswick",0,0,0,
"Brunswick East",0,0,0,
"Brunswick West",0,0,0,
"Coburg",0,0,0,
"Pascoe Vale South",0,0,0,
"Alphington - Fairfield",0,0,0,
"Northcote",0,0,0,
"Thornbury",0,0,0,
"Ascot Vale",0,6,6,
"Essendon - Aberfeldie",0,4,4,
"Flemington",0,0,0,
"Moonee Ponds",0,0,0,
"Carlton",0,0,0,
"Docklands",0,0,0,
"East Melbourne",0,0,0,
"Flemington Racecourse",0,0,0,
"Kensington (Vic.)",0,0,0,
"Melbourne",0,0,0,
"North Melbourne",0,0,0,
"Parkville",0,0,0,
"South Yarra - West",0,0,0,
"Southbank",0,0,0,
"West Melbourne",0,0,0,
"Albert Park",0,0,0,
"Elwood",0,0,0,
"Port Melbourne",0,0,0,
"Port Melbourne Industrial",0,0,0,
"South Melbourne",0,0,0,
"St Kilda",0,0,0,
"St Kilda East",0,0,0,
"Armadale",0,0,0,
"Prahran - Windsor",0,0,0,
"South Yarra - East",0,0,0,
"Toorak",0,0,0,
"Abbotsford",0,0,0,
"Carlton North - Princes Hill",0,0,0,
"Collingwood",0,0,0,
"Fitzroy",0,0,0,
"Fitzroy North",0,0,0,
"Richmond (Vic.)",0,0,0,
"Yarra - North",0,0,0,
"Ashburton (Vic.)",0,0,0,
"Balwyn",0,0,0,
"Balwyn North",0,0,0,
"Camberwell",0,0,0,
"Glen Iris - East",0,0,0,
"Hawthorn",0,0,0,
"Hawthorn East",0,0,0,
"Kew",0,0,0,
"Kew East",0,0,0,
"Surrey Hills (West) - Canterbury",0,0,0,
"Bulleen",0,0,0,
"Doncaster",0,0,0,
"Templestowe",0,0,0,
"Templestowe Lower",0,0,3,
"Doncaster East (North)",0,0,0,
"Doncaster East (South)",0,0,0,
"Blackburn",0,0,3,
"Blackburn South",0,0,0,
"Box Hill",0,0,0,
"Box Hill North",0,3,3,
"Burwood",0,0,0,
"Burwood East",0,0,0,
"Surrey Hills (East) - Mont Albert",0,0,0,
"Beaumaris",0,0,0,
"Brighton (Vic.)",0,0,0,
"Brighton East",0,0,0,
"Cheltenham - Highett (West)",0,0,0,
"Hampton",0,0,0,
"Sandringham - Black Rock",0,0,0,
"Bentleigh - McKinnon",0,0,0,
"Carnegie",0,0,0,
"Caulfield - North",0,0,0,
"Caulfield - South",0,0,0,
"Elsternwick",0,0,0,
"Hughesdale",0,3,3,
"Murrumbeena",0,0,0,
"Ormond - Glen Huntly",0,4,4,
"Bentleigh East (North)",0,0,0,
